Judul,topics,probabilities
klasifikasi dokumen tumbuhan obat metode improved knearest neighbor,0,1.0
evaluasi kualitas layanan website pemerintah kota batu metode egovqual importance performance analysis ipa,-1,0.0
implementasi metode particle swarm optimizationdempster shafer diagnosa indikasi penyakit budidaya ikan gurami,47,0.6267024471843123
sistem pakar berbasis web menentukan pembagian harta waris hukum islam metode forward chaining dempstershafer,30,0.9817920557960369
optimasi komposisi menu makanan penderita tekanan darah algoritme genetika adaptif,24,1.0
pengukuran kualitas website unit pengembangan karir kewirausahaan universitas brawijaya metode webqual,21,0.3159707001976531
iklan online media sosial risiko kepercayaan pengguna iklan online line metode structural equation modelling sem studi line berrybenka,-1,0.0
sistem pakar diagnosis penyakit mulut metode bayessian network,0,1.0
rancang bangun aplikasi deteksi spam twitter metode naive bayes knn perangkat bergerak android,6,0.7293604581846023
optimasi fungsi keanggotaan fuzzy tahap algoritme genetika penentuan bakat tingkat persentase kecerdasan anak,-1,0.0
deteksi penyakit gagal ginjal gabungan genetic algorithm fuzzy knearest neighbor gafknn,0,1.0
implementasi autentikasi json web token jwt mekanisme autentikasi protokol mqtt perangkat nodemcu,84,0.7080898860729714
klasifikasi teks pengaduan sambat online metode ngram neighbor weighted knearest neighbor nwknn,113,1.0
analisis kualitas layanan website erafone kepuasan pelanggan esqual erecsqual,98,0.8677640884076756
analisis perancangan sistem informasi manajemen gudang pt mitra pinasthika mulia surabaya,1,1.0
implementasi security load balancing layanan web multidomain ssl,13,0.26454735865752965
pengembangan sistem selfservice reservation everyday smart hotel malang customer relationship management crm operasional modul sales force automation service automation,-1,0.0
