Judul,Penulis,Tahun,topics,probabilities
performa mekanisme error recovery automatic repeat request arq forward error correction fec multi receiver file transfer,"Kusnul Aeni, Mahendra Data, Adhitya Bhawiyuga",30 Sep 2017,-1,0.0
implementasi algoritma sha sha sistem autentikasi garuda training cost,"Firlhi Kurniawan, Ari Kusyanti, Heru Nurwarsito",30 Sep 2017,68,0.12662022043836638
perbandingan metode kmeans improved semisupervised kmeans data indeks pembangunan manusia ipm,"Gusti Ngurah Wisnu Paramartha, Dian Eka Ratnawati, Agus Wahyu Widodo",30 Sep 2017,79,1.0
diagnosis gangguan autisme anak metode modified knearest neighbor mknn,"Jojor Jennifer BR Sianipar, Muhammad Tanzil Furqon, Putra Pandu Adikara",30 Sep 2017,114,1.0
penerimaan pengguna aplikasi mobile uc browser model unified theory of acceptance and use of technology utaut task technology fit ttf,"Atiyyah Lia Hijriyati, Niken Hendrakusma Wardani, Mochamad Chandra Saputra",30 Sep 2017,28,0.8843215862502358
multiple travelling salesman problem pendistribusian air minum algoritme particle swarm optimization studi ud tosa malang,"Rinindya Nurtiara Puteri, Agus Wahyu Widodo, Imam Cholissodin",30 Sep 2017,-1,0.0
multiple travelling salesman problem pendistribusian air minum algoritme genetika studi ud tosa malang,"Sayyidah Karimah, Agus Wahyu Widodo, Imam Cholissodin",30 Sep 2017,87,1.0
ciri geometric invariant moment pengenalan tanda tangan,"Rahma Juwita Sany, Agus Wahyu Widodo, Candra Dewi",30 Sep 2017,-1,0.0
jaringan sensor nirkabel metode pengiriman pembagian slot sistem deteksi parkir sepeda motor,"Zonnete Bryllian Dheo, Sabriansyah Rizqika Akbar, Edita Rosana Widasari",30 Sep 2017,67,0.4366665205551141
metode fuzzy subtractive clustering pengelompokan data potensi kebakaran hutanlahan,"Vianti Mala Anggraeni Kusuma, Muhammad Tanzil Furqon, Lailil Muflikhah",30 Sep 2017,-1,0.0
kualitas layanan website dinas pendidikan kota malang metode webqual ipa,"Amirah Al Baiti, Suprapto Suprapto, Aditya Rachmadi",30 Sep 2017,26,0.47338861616199
sistem pakar diagnosis penyakit sistem endokrin manusia metode dempstershafer,"Didin Wahyu Utomo, Suprapto Suprapto, Nurul Hidayat",30 Sep 2017,1,0.8992097703284684
load balancing web server metode berbasis sumber daya cpu software defined networking,"Riski Julianto, Widhi Yahya, Sabriansyah Rizqika Akbar",30 Sep 2017,11,0.5003085948901439
sistem tracking kereta api protokol publish subscribe,"Sapta Oryza Putra, Adhitya Bhawiyuga, Mochammad Hannats Hanafi Ichsan",30 Sep 2017,128,1.0
fuzzy knearest neighbor fknn menentukan status gizi balita,"Satria Dwi Nugraha, Rekyan Regasari Mardi Putri, Randy Cahya Wihandika",30 Sep 2017,-1,0.0
klasifikasi status gizi bayi metode knearest neighbor berbasis sistem embedded,"Nanda Epriliana Asmara Putri, Dahnial Syauqy, Mochammad Hannats Hanafi Ichsan",30 Sep 2017,-1,0.0
sistem pervasive smart home berbasis bluetooth versi modul ble hm sensor,"I Wayan Boby Astagina Naghi, Sabriansyah Rizqika Akbar, Barlian Henryranu Prasetio",30 Sep 2017,53,0.412593633853521
teknologi websocket pengembangan sistem berbagi lokasi berbasis web,"Avreghly Barra Al-Ilman, Tri Astoto Kurniawan",30 Sep 2017,108,1.0
kinerja protokol routing ospf eigrp aplikasi voip topologi jaringan mesh,"Lyna Dwi Maryati, Rakhmadhany Primananda, Mochammad Hannats Hanafi Ichsan",30 Sep 2017,59,0.8374377880309951
protokol sinkronisasi reference broadcast synchronization rbs pengiriman data flooding wireless sensor node,"Zhafran Wadiansyah, Sabriansyah Rizqika Akbar, Edita Rosana Widasari",30 Sep 2017,7,0.6118472786886315
sistem pengelolaan bank ujian pilihan ganda online,"Silvia Ajrini, Tri Astoto Kurniawan, Denny Sagita Rusdianto",30 Sep 2017,-1,0.0
pembagian tugas dosen pengampu mata kuliah metode particle swarm optimization,"Muhammad Abduh, Rekyan Regasari Mardi Putri, Lailil Muflikhah",31 Oct 2017,50,0.817498219005964
teks bahasa indonesia dokumen pengaduan sambat online metode knearest neighbors knn chisquare,"Claudio Fresta Suharno, Mochammad Ali Fauzi, Rizal Setya Perdana",31 Oct 2017,54,0.2833582136309908
dpe framework perancangan serious game pengidap kebutaan nada,"M. Rizkiyan Zaka Riawan, Wibisono Sukmo Wardhono, Tri Afirianto",31 Oct 2017,78,0.9077951351951725
citra tanda tangan offline pemanfaatan ciri centroid distance function,"Rizka Husnun Zakiyyah, Agus Wahyu Widodo, Fitri Utaminingrum",31 Oct 2017,41,0.8977473463707867
otomatis quadcopter ar drone metode linear quadratic regulator lqr,"Amroy Casro Lumban Gaol, Gembong Edhi Setyawan, Wijaya Kurniawan",31 Oct 2017,86,1.0
nilai belief dempstershafer particle swarm optimization pso penentuan pasal penganiayaan,"Merry Gricelya Nababan, Rekyan Regasari Mardi Putri, Indriati Indriati",31 Oct 2017,50,0.8287094597016791
fitur particle swarm optimization pengenalan pola wajah naive bayes studi mahasiswa universitas brawijaya fakultas ilmu komputer gedung a,"Satria Habiburrahman Fathul Hakim, Imam Cholissodin, Agus Wahyu Widodo",31 Oct 2017,50,0.6051484134348775
pendukung keputusan pemilihan penanaman varietas unggul padi metode ahp topsis,"Muhamad Rendra Husein Roisdiansyah, Agus Wahyu Widodo, Nurul Hidayat",31 Oct 2017,-1,0.0
