Judul,Penulis,Tahun
harga pasar daging sapi kota malang metode extreme learning machine elm,"Cusen Mosabeth, Muhammad Tanzil Furqon, Randy Cahya Wihandika",31 Dec 2018
realtime dynamics lighting soft shadow lingkungan game dimensi studi game wipeitoff,"Muhammad Dikri Robinsyah, Eriq Muhammad Adams Jonemaro, Tri Afirianto",31 Dec 2018
travelling salesman problem with time windows sistem rekomendasi tujuan wisata kota batu metode evolution strategies,"Dicky Manda Putra Sidharta, Nurul Hidayat, Edy Santoso",31 Dec 2018
kesuksesan implementasi sistem informasi kesehatan model unified theory of acceptance and use of technology model delone and mclean,"Cindy Felita Nur Alimah Saptonoadi, Admaja Dwi Herlambang, Satrio Hadi Wijoyo",31 Dec 2018
aspek usability user experience website aplikasi mobile radio streaming studi website aplikasi mobile radio prambors,"Muhammad Audi, Retno Indah Rokhmawati, Hanifah Muslimah Az-Zahra",31 Dec 2018
deteksi perhitungan otomatis bakteri salmonella pengolahan citra metode object counting,"Lashot Ria Ingrid Melanika, Hurriyatul Fitriyah, Gembong Edhi Setiawan",31 Dec 2018
sentimen twitter ensemble feature metode extreme learning machine elm studi samsung indonesia,"Alqis Rausanfita, Putra Pandu Adikara, Sigit Adinugroho",31 Dec 2018
algoritme particle swarm optimizationlearning vector quantization psolvq klasifikasi data iris,"Ilham Romadhona, Imam Cholisoddin, Marji Marji",31 Dec 2018
algoritme speck proses pengiriman file multimedia jaringan internet,"David Christanto, Ari Kusyanti, Mahendra Data",31 Dec 2018
proses bisnis penanganan pengaduan nasabah quality evaluation framework qef studi pt xyz,"Iffa Aulia Ulwani, Nanang Yudi Setiawan, Ismiarta Aknuranda",31 Dec 2018
algoritme lizard pengamanan protokol mqtt perangkat nodemcu,"Rizal Dismantoro, Ari Kusyanti, Mahendra Data",31 Dec 2018
tingkat kematangan proses pengembangan perangkat lunak framework cmmidev pt abc,"Ika Kurniawati, Mochamad Chandra Saputra, Aditya Rachmadi",31 Dec 2018
metode naive bayescertainty factor identifikasi cedera pemain futsal,"Rhiezky Arniansya, Nurul Hidayat, Ratih Kartika Dewi",31 Dec 2018
perbaikan proses bisnis metode business process improvement bpi framework studi bidang pengembangan produk pariwisata dinas pariwisata kota batu,"Indra Fahrizal, Ismiarta Aknuranda, Nanang Yudi Setiawan",31 Dec 2018
pengenalan peralatan elektronik dapur terhubung stop kontak metode knearest neighbor knn,"Rizka Ayudya Pratiwi, Dahnial Syauqy, Hurriyatul Fitriyah",31 Dec 2018
metode user centered design aplikasi elearning berbasis android studi sman sidoarjo,"Arie Krisnoanto, Adam Hendra Brata, Mahardeka Tri Ananta",31 Dec 2018
metode backpropagation prediksi harga batu bara,"Miracle Fachrunnisa Almas, Budi Darma Setiawan, Sutrisno Sutrisno",31 Dec 2018
aplikasi perangkat bergerak berbasis android kontrol kepala alat bantu ujian siswa tuna daksa,"Riski Puspa Dewi Diangga Putri, Lutfi Fanani, Adam Hendra Brata",31 Dec 2018
hasil panen benih tanaman kenaf metode support vector regression svr balai penelitian tanaman pemanis serat balittas,"Robih Dini, Budi Darma Setiawan, Candra Dewi",31 Dec 2018
nilai harga patokan batu bara hpb merek dagang gunung bayan i metode extreme learning machine elm,"Evilia Nur Harsanti, Muhammad Tanzil Furqon, Putra Pandu Adikara",31 Dec 2018
proses bisnis metode quality evaluation framework qef studi bidang akreditasi aim pusat jaminan mutu universitas brawijaya,"Noval Ageng Siswanto, Aditya Rachmadi, Andi Reza Perdanakusuma",31 Dec 2018
algoritme grain v protokol mqtt raspberry pi mengamankan data iot,"Iskar Maulana, Ari Kusyanti, Adhitya Bhawiyuga",31 Dec 2018
perancangan sistem informasi businesstobusiness industri marmer kabupaten tulungagung,"Dhena Kamalia Fu'adi, Himawat Aryadita, Satrio Agung Wicaksono",31 Dec 2018
bangun pengendali pintu gerbang tol rfid logika fuzzy,"Muhammad Raihan Al Hakim, Rizal Maulana, Hurriyatul Fitriyah",31 Dec 2018
sistem aplikasi manajemen unit transfusi darah utd pmi malang,"Tafarrara Irsa Shabrina, Nurudin Santoso, Bayu Priyambadha",31 Dec 2018
perancangan sistem informasi pemesanan barang studi pt trivia nusantara,"Afifahlya Alif Rizyomi, Mochamad Chandra Saputra, Welly Purnomo",31 Dec 2018
sistem informasi data pasien seksi rehabilitasi bnn kota malang metode iterative incremental,"Stefanus Eka Prastya, Mochamad Chandra Saputra, Djoko Pramono",31 Dec 2018
penderita penyakit ginjal kronis algoritme support vector machine svm,"Ega Ajie Kurnianto, Imam Cholissodin, Edy Santoso",31 Dec 2018
harga batu bara support vector regression svr,"Olivia Bonita, Lailil Muflikhah, Ratih Kartika Dewi",31 Dec 2018
aplikasi social geotagging destinasi wisata berbasis android,"Ulfani Defitria, Bayu Priyambadha, Denny Sagita Rusdianto",31 Dec 2018
perbaikan desain muka pengguna situs talangincom pendekatan human centered design hcd,"Natasha Syahirsah, Ismiarta Aknuranda, Himawat Aryadita",31 Dec 2018
aplikasi manajemen proyek perangkat lunak berbasis scrum studi cv nusantara media mandiri cvnmm,"Muhammad Faisal Fahat, Bayu Priyambadha, Fajar Pradana",31 Dec 2018
algoritme trivium mengamankan data protokol mqtt perangkat raspberry pi,"Alan Maulana Hamid, Ari Kusyanti, Adhitya Bhawiyuga",31 Dec 2018
low power embedded system mendeteksi kondisi kebakaran ruangan,"Rinaldi Albert Soritua, Mochammad Hannats Hanafi Ichsan, Gembong Edhi Setyawan",31 Dec 2018
usability aplikasi pemesanan tiket bioskop metode usability testing use questionnaire,"Moch Dian Fahmi, Hanifah Muslimah Az - Zahra, Ratih Kartika Dewi",31 Dec 2018
user experience mengadaptasi mecue questionnaire aplikasi kai access aplikasi tiketcom,"Dea Annisa Larasati, Hanifah Muslimah Az-Zahra, Ratih Kartika Dewi",31 Dec 2018
sistem informasi manajemen perpustakaan ruang baca fakultas ilmu komputer universitas brawijaya,"I Gde Yuda Pratama, Satrio Agung Wicaksono, Mochamad Chandra Saputra",31 Dec 2018
pendeteksi jenis buah mangga metode template matching,"Agung Bachtiar Sukmaarta, Dahnial Syauqy, Tibyani Tibyani",31 Dec 2018
sistem informasi sales force automation service automation pemesanan penjualan metode rational unified process studi kantin filkom universitas brawijaya,"Helmy Danu Prameireza, Yusi Tyroni Mursityo, Djoko Pramono",31 Dec 2018
sistem rekomendasi rute optimum algoritme voronoi continuous k nearest neighbor vcknn progressive incremental network expansion pine voronoibased network nearest neighbor vn berbasis webgis,"Fajar Krisna Wicaksono, Fatwa Ramdhani, Mochamad Chandra Saputra",31 Dec 2018
proses bisnis metode business process improvement bpi studi pelaksana urusan logistik utd palang merah indonesia pmi kota malang,"Ibnu Irawan Pratama, Djoko Pramono, Nanang Yudi Setiawan",31 Dec 2018
sistem informasi lembaga bimbingan belajar alhasyimi,"Muhammad Jauhar Fuadi, Retno Indah Rokhmawati, Mochamad Chandra Saputra",31 Dec 2018
sistem pendeteksian code smells refused bequest,"Muhammad Faishal Firdaus, Bayu Priyambadha, Fajar Pradana",31 Dec 2018
algoritme advance encryption standard aes enkripsi dekripsi qrcode,"Dwi Qunita Putri Ambeq Paramarta, Ari Kusyanti, Mahendra Data",31 Dec 2018
harga pasar telur ayam ras kota malang metode psonn,"Nadya Sylviani, Arief Andy Soebroto",31 Dec 2018
aplikasi pembelajaran pemrograman java atraktif berbasis android,"Riski Pradana, Bayu Priyambadha, Fajar Pradana",31 Dec 2018
aplikasi manajemen event berbasis web studi fakultas ilmu administrasi universitas brawijaya malang,"Hendro Febrian Bachri, Bayu Priyambadha, Denny Sagita Rusdianto",31 Dec 2018
gripper end effector robot memegang telur ayam sensor fsr force sensitive resistor,"Alfian Reza Pahlevi, Dahnial Syauqy, Bayu Rahayudi",31 Dec 2018
low power mode berbasis finite state machine sistem pelacak lokasi parkir mobil gps module gsm module,"Agung Wismawan Rochmatullah, Dahnial Syauqy, Mochammad Hannats Hanafi Ichsan",31 Dec 2018
pendukung keputusan penentuan kelayakan pembangunan crane metode analytic hierarchy process technique for order preference by similarity to ideal solution ahptopsis studi pt mhe demag surabaya,"Fendra Gunawan, Imam Cholissodin, Ratih Kartika Dewi",31 Dec 2018
komunikasi berbasis lowpan node sensor iot middleware,"Binariyanto Aji, Eko Sakti Pramukantoro, Mahendra Data",31 Dec 2018
penjadwalan mesin shift karyawan algoritme genetika studi pt petro jordan abadi,"Sarah Aditya Darmawan, Imam Cholisoddin, Tibyani Tibyani",31 Dec 2018
kualitas website pemerintah daerah metode egovqual studi pemerintah kabupaten sumbawa barat,"Rizkialdy Suja Pratama, Admaja Dwi Herlambang, Mochamad Chandra Saputra",31 Dec 2018
maximum tfidf normalization metode knn klasifikasi dataset multiclass panichella review aplikasi mobile,"Billy Kaleb Hananto, Aryo Pinandito, Agi Putra Kharisma",31 Dec 2018
web service iot data storage pendekatan semantik penambahan mekanisme autentikasi,"Tuti Wardani Hamid, Eko Sakti Pramukantoro, Andi Reza Siregar",31 Dec 2018
kapabilitas manajemen risiko teknologi informasi kerangka cobit studi daerah operasional daop xx,"Nadya Mardiana Rahmania, Suprapto Suprapto, Andi Reza Perdanakusuma",31 Dec 2018
pencarian jurnal ilmiah cross language metode vector space model vsm,"Indah Mutia Ayudita, Indriati Indriati, Putra Pandu Adikara",31 Dec 2018
kinerja hbase mongodb backend iot data storage,"Niki Yuniar Wicaksono, Eko Sakti Pramukantoro, Widhi Yahya",31 Dec 2018
failover autoscaling kontainer web server nginx docker kubernetes,"Yosua Tito Sumbogo, Mahendra Data, Reza Andria Siregar",31 Dec 2018
penyakit kelamin lakilaki metode bayesian network,"Yori Tri Cuswantoro, Nurul Hidayat, Ratih Kartika Dewi",31 Dec 2018
cluster message broker solusi skalabilitas middleware berbasis arsitektur publishsubscribe internet of things iot,"Jessy Ratna Wulandari, Eko Sakti Pramukantoro, Heru Nurwasito",31 Dec 2018
real time pergerakan robot quadruped mengggunakan multisensor rtos,"Hendriawan Dwi Saputro, Rizal Maulana, Mochammad Hannats Hanafi Ichsan",31 Dec 2018
kesuksesan implementasi sistem informasi produksi udang delone and mclean model,"Orza Haidar Hilmy, Admaja Dwi Herlambang, Mochammad Chandra Saputra",31 Dec 2018
sistem monitoring rumah mikrokomputer,"Reno Putra Prawira, Adam Hendra Brata, Bayu Priyambadha",31 Dec 2018
curah hujan metode adaptiveexpectation based multiattribute fuzzy time series,"Yulia Trianandi, Wayan Firdaus Mahmudy, Candra Dewi",31 Dec 2018
ids berbasis j mendeteksi serangan dos perangkat middleware iot,"Hilman Nihri, Eko Sakti Pramukantoro, Primantara Hari Trisnawan",31 Dec 2018
load balancing server basis data virtualisasi berbasis kontainer,"Moch. Wahyu Imam Santosa, Rakhmadhany Primananda, Widhi Yahya",31 Dec 2018
aplikasi perangkat bergerak program kb berbasis android menerapkan user centered design,"Lia Rosalina, Adam Hendra Brata, Lutfi Fanani",31 Dec 2018
perancangan sistem informasi pengelolaan mutabaah siswa studi pendidikan alquran sdit madani ekselensia sidoarjo,"Afifah Qonita, Aditya Rachmadi, Denny Sagita Rusdianto",31 Dec 2018
user centered design pembangunan aplikasi informasi hostel berbasis android,"Diah Shinta Dewi, Adam Hendra Brata, Lutfi Fanani",31 Dec 2018
permainan pemadam kebakaran teknologi virtual reality,"Nur Muhammad Rashid, Eriq Muh. Adams Jonemaro, Muhammad Aminul Akbar",31 Dec 2018
algoritme speck sha database rekam medik,"Hilman Adi Kartika, Ari Kusyanti, Mahendra Data",31 Dec 2018
pakar diagnosa penyakit gigi mulut metode naive bayes weighted product,"Paul Manason Sahala Simanjuntak, Edy Santoso, Tibyani Tibyani",31 Dec 2018
proses bisnis layanan transportasi metode quality evaluation framework qef studi pt citra perdana kendedes,"Desy Miladiana, Nanang Yudi Setiawan, Andi Reza Perdanakusuma",31 Dec 2018
alternatif tanaman obat penyakit hipertensi metode analytical network process anp simple multi attribute rating technique smart,"Linda Pratiwi, Indriati Indriati, Ahmad Afif Supianto",31 Dec 2018
implementasi algoritma enkripsi idea perangkat kriptografi berbasis fpga,"Muhammad Adi Wijaya, Wijaya Kurniawan, Ari Kusyanti",31 Dec 2018
aplikasi traffic light etilang google geofencing api berbasis android,"Ditya Enandini Palupi, Muhammad Aminul Akbar, Adam Hendra Brata",31 Dec 2018
penyakit mata metode learning vector quantization lvq,"Entra Betlin Ladauw, Dian Eka Ratnawati, Ahmad Afif Supianto",31 Dec 2018
sistem otomatisasi pintu face recognition metode haarcascade local binary pattern raspberry pi,"Willy Andika Putra, Rizal Maulana, Fitri Utaminingrum",31 Dec 2018
protokol geographic source routinggsr vehicular adhoc networkvanet komunikasi kendaraan road side unitrsu,"Rezky Hadiwiriyanto, Primantara Hari Trisnawan, Kasyful Amron",31 Dec 2018
kualitas sistem informasi dosen siado dosen universitas brawijaya technology acceptance model tam termodifikasi,"Anita Dwi Puspitasari, Yusi Tyroni Mursityo, Mochamad Chandra Saputra",31 Dec 2018
kenaikan jabatan karyawan metode fuzzyanalytical hierarchy process fahp pabrik gula lestari patianrowo nganjuk,"Erma Rafliza, Indriati Indriati, Rizal Setya Perdana",31 Dec 2018
performance improved holtwinters prediksi keberangkatan domestik bandar udara soekarno hatta,"Revinda Bertananda, Budi Darma Setiawan, Marji Marji",31 Dec 2018
sistem informasi keuangan studi kb tk permata iman malang,"Muhammad Rizsky, Satrio Agung Wicaksono, Mochamad Chandra Saputra",31 Dec 2018
hasil perbandingan penerapan metode heuristic evaluation persona persona studi situs web female daily,"Atika Baladina, Ismiarta Aknuranda, Ari Kusyanti",31 Dec 2018
sistem informasi pelanggan binatu berbasis android cleaners vip laundry malang,"Andi Moh. Raga Punggawa, Herman Tolle, Lutfi Fanani",31 Dec 2018
kontrol lampu kipas implisit suara metode text processing berbasis embedded system,"Wildo Satrio, Dahnial Syauqy, Hurriyatul Fitriyah",31 Dec 2018
model kesuksesan delone mclean website fakultas ilmu komputer filkom universitas brawijaya,"Lely Hapsari Trihandayani, Ismiarta Aknuranda, Yusi Tyroni Mursityo",31 Dec 2018
penerapan markerless augmented reality video game memancing pendekatan simultaneous localization and mapping slam,"Dany Muhammad, Wibisono Sukmo Wardhono, Tri Afirianto",31 Dec 2018
risiko hipertensi fuzzy decision tree iterative dichotomiser id,"Mochamad Rafli Andriansyah, Edy Santoso, Sutrisno Sutrisno",31 Dec 2018
variasi proses bisnis manufaktur menerapkan process mining studi pt kimia farma tbk,"Annisa Arifa Sesyazhade, Nanang Yudi Setiawan, Ismiarta Aknuranda",31 Dec 2018
penentuan prioritas pencegahan failure mode and effect analysis cause and effect analysis proses bisnis pengajuan proposal program kreativitas mahasiswa pkm studi universitas brawijaya malang,"Zaenal Kurniawan, Ismiarta Aknuranda, Nanang Yudi Setiawan",31 Dec 2018
perbandingan ranking proposed value perceived value ecommerce berdasarkan model ux honeycomb,"Ressya Sukma, Hanifah Muslimah Az-zahra, Mahardeka Tri Ananta",31 Dec 2018
komposisi makanan penderita obesitas orang dewasa algoritme particle swarm optimization pso,"Shinta Anggun Larasati, Imam Cholissodin, Marji Marji",31 Dec 2018
bangun alat pendeteksi kecelakaan mobil sensor akselerometer sensor s vibration,"Adnan Mahfuzhon, Tibyani Tibyani, Gembong Edhi Setyawan",31 Dec 2018
pendukung keputusan pemilihan skuad utama tim bola voli metode ahptopsis,"Hangga Eka Febrianto, Muhammad Tanzil Furqon, Sigit Adinugroho",31 Dec 2018
algoritme modified knearest neighbor mknn diagnosis penyakit tanaman cengkeh,"Rizaldy Amsyar, Nurul Hidayat, Rizal Setya Perdana",31 Dec 2018
algoritme grain v enkripsi gambar aplikasi berbasis web,"Andhika Brahmana Putra, Ari Kusyanti, Mahendra Data",31 Dec 2018
algoritme trivium mengamankan komunikasi data masterslave perangkat berbasis modul komunikasi nrfl,"Sara Yosephina, Adhitya Bhawiyuga, Ari Kusyanti",31 Dec 2018
sistem informasi monitoring pengadaan barang jasa berbasis website metode rational unified process rup studi unit bisnis jasa o m jawa pt pjb surabaya,"M Bayu Dwi Nugroho, Mochammad Chandra Saputra, Djoko Pramono",31 Dec 2018
titik api terpusat kamera notifikasi berbasis sms gateway raspberry pi,"Syahrul Yoga Pradana, Fitri Utaminingrum, Wijaya Kurniawan",31 Dec 2018
rekomendasi tampilan website ecomplaint universitas brawijaya perangkat bergerak metode heuristic evaluation,"Wahyu Satriyo Wibowo, Hanifah Muslimah Az-Zahra, Fitra Abdurrachman Bachtiar",31 Dec 2018
penyakit cabai metode forward chaining dempstershafer,"Eka Hery Wijaya, Nurul Hidayat, Suprapto Suprapto",31 Dec 2018
perbandingan scoring proposed value perceived value berdasarkan model ux honeycomb studi traveloka tiketcom pegipegi,"Dina Ayu Musfikasari, Hanifah Muslimah Az-Zahra, Mahardeka Tri Ananta",31 Dec 2018
niat penggunaan sistem informasi dosen siado dosen universitas brawijaya technology acceptance model tam termodifikasi,"Larizza Novianti, Yusi Tyroni Mursityo, Admaja Dwi Herlambang",31 Dec 2018
hardware redundancy switching pintu otomatis metode cold standby watchdog,"Muhammad Rifqi Muzaki, Sabriansyah Rizqika Akbar, Widhi Yahya",31 Dec 2018
kinerja openflow based switch router linkysys wrtgl tplink tlwrnd arsitektur software defined networking,"Yasin Rizqi Afandi, Sabriansyah Rizqika Akbar, Widhi Yahya",31 Dec 2018
sistem informasi manajemen mobil unit donor darah studi palang merah indonesia pmi kota malang,"Mochammad Ali Hafidz, Satrio Agung Wicaksono, Adam Hendra Brata",31 Dec 2018
aplikasi pendaftaran operasi penderita katarak studi rumah sakit larasati pamekasan,"Nawfal Alim Fardana, Denny Sagita Rusdianto, Lutfi Fanani",31 Dec 2018
