Judul,Penulis,Tahun
pendukung keputusan pemilihan anggota pengurus harian pondok pesantren metode profile matching studi pondok pesantren putra sabilurrosyad,"Muhammad Atabik Usman, Edy Santoso, Nurul Hidayat",31 Oct 2017
permainan edukasi simulasi astronomi teknologi mobile virtual reality,"Firly Wahyudi, Wibisono Sukmo Wardhono, Amminul Akbar",30 Nov 2017
metode klasifikasi fuzzy knearest neighbor fknn fingerprint access point indoor positioning,"Baiq Findiarin Billyan, Adhitya Bhawiyuga, Rakhmadhany Primananda",30 Nov 2017
pendeteksi kebocoran gas lpg metode fuzzy diimplementasikan real time operating system rtos,"Lavanna Indanus Ramadhan, Dahnial Syauqy, Barlian Henryranu Prasetio",30 Nov 2017
dosis pupuk berdasarkan karakteristik lingkungan tanaman jeruk siam metode backpropagation,"Muhammad Najmi Ridhani, Rekyan Regasari Mardi Putri, Sutopo Sutopo",30 Nov 2017
metode promethee ii menentukan pemenang tender proyek studi dinas perhubungan llaj provinsi jawa timur,"Muhammad Wafi, Rizal Setya Perdana, Wijaya Kurniawan",30 Nov 2017
usability perbaikan desain antarmuka pengguna situs web fakultas pertanian fp universitas brawijaya,"Maria Yulianti, Ismiarta Aknuranda, Niken Hendrakusma Wardani",30 Nov 2017
support vector regression svr algoritma improvedparticle swarm optimization ipso peramalan curah hujan,"Husin Muhamad, Imam Cholissodin, Budi Darma Setiawan",30 Nov 2017
algoritma genetika metode ahp saw rekomendasi varietas unggul tanaman tebu studi pusat penelitian gula ptpn x jengkol,"Nilna Fadhila Ganies, Dian Eka Ratnawati, Bayu Rahayudi",30 Nov 2017
game platformer d teknik projection mapping,"Monel Lindu Sagala, Eriq M. Adams Jonemaro, Wibisono Sukmo Wardhono",30 Nov 2017
bangun sistem klasifikasi frekuensi penggunaan minyak goreng metode bayes,"M Nuzulul Marofi, Dahnial Syauqy, Hurriyatul Fitriyah",30 Nov 2017
sistem peringatan kontrak kerja karyawan menerapkan pendekatan kolaboratif athena elisitasi kebutuhan studi pt surya optima nusa raya,"Reza Fahrur Rasyid, Fajar Pradana, Bayu Priyambadha",30 Nov 2017
nilai tukar rupiah indonesia dolar amerika serikat metode recurrent extreme learning machine neural network,"Daneswara Jauhari, Imam Cholissodin, Candra Dewi",30 Nov 2017
teks otomatis artikel berita kesehatan knearest neighbor berbasis fitur statistik,"Rachmad Indrianto, Mochammad Ali Fauzi, Lailil Muflikhah",30 Nov 2017
pendukung keputusan rekomendasi wirausaha metode ahptopsis studi kab probolinggo,"Ghulam Mahmudi Al Azis, Imam Cholissodin, Muhammad Tanzil Furqon",30 Nov 2017
kebutuhan perancangan sistem informasi produksi dinas peternakan kesehatan hewan kabupaten malang berbasis teknologi service oriented architecture,"Agum Septian Gumelar, Mochammad Chandra Saputra, Niken Hendrakusma Wardani",30 Nov 2017
